biowenger_name,biowenger_team,supabase_player_id,precio,similarity
Guido Rodríguez,Valencia,73efpm314q2paeacsvp4e8q8l,9,1.0
Mariano Díaz,Alavés,eufpzdp76oumhybvscmu76vo5,7,0.8
Arnau Tenas,Villarreal,4ffmlhvbjvfjjnhr0byktvt62,11,1.0
Neal Maupay,Sevilla,xu7mykgl15kaib3olilmsez9,8,1.0
Marc Bartra,Betis,evpjdko94awbqbbl5wl9hto7p,14,1.0
Javi Rodríguez,Celta,79n0dyjagmleor1fpwl25qql0,12,1.0
Isco Alarcón,Betis,45s1v9805id09m5zkcylueod1,39,0.5714285714285714
Marko Dmitrovic,Espanyol,bahph7009sc73jl6s2bramn6d,13,0.9333333333333333
Augusto Batalla,Rayo,9h6xf4ac4rpsjpummcdx26z9,15,0.75
Adam Boayar,Elche,9rr6g0wel9f0noof3d9dwrehg,7,0.7333333333333333
Adnan Januzaj,Sevilla,7atmb373dynu9s9gnl613ox5h,8,1.0
Gabriel Suazo,Sevilla,8yak0o9o7z5j5ribga3ui2cb9,12,0.7
Jozhua Vertrouwd,Rayo,asvxbmdd5j5tlz2fo1jpcrrx0,7,0.8205128205128205
Jan Virgili,Mallorca,4cuha2o4qsp1tb8yhqu3ntij8,7,1.0
Asier Osambela,Osasuna,b5muwvixv0nq4uylgzxz7302c,7,1.0
Ayoze Pérez,Villarreal,drwacyyicuhy3heg4j0ipqj85,32,1.0
Adrià Pedrosa,Elche,8rprxly1blrhq9cwhfqoheeax,11,1.0
Mario Martín,Getafe,1riebanoqbl7brs1bm3lkgxlg,8,1.0
Nemanja Gudelj,Sevilla,6vvwhgic29fekmmj2cg62ytp1,11,1.0
Raúl Fernández,Alavés,d113ljlwz4uaqd7uk8t2pidat,7,1.0
David Carmo,Real Oviedo,9iqmeo87l56hr3gymmxgkxysq,15,1.0
Largie Ramazani,Valencia,blvf8qsi6iy6ejyer58okyxka,8,1.0
Rafa Mir,Elche,4sojot9t32l4a6fm3e39xkcfd,8,1.0
Roony Bardghji,Barcelona,66psa7xh8odnlp39ue5vzpes4,8,1.0
Cédric Bakambu,Betis,a68fosxpgtyxj64ex9f6nget,8,1.0
Álvaro F. Carreras,Real Madrid,a4kw8u4dqsslfwe1ux08lbmc,17,0.9375
Nacho Pérez,Levante,a0810cmxke3zmwaqj31bo15hw,7,1.0
Héctor Bellerín,Betis,3e8mxxfs5q7gt4lg2beqpkwyd,8,1.0
Pedro Díaz,Rayo,7vb4xrwk7sbgpxzgiwwbt4s89,12,1.0
Pablo Fornals,Betis,6aix9yu384pv1caanqiol231l,15,1.0
Marc Aguado,Elche,z0qe6u5fvgrjy0jzk1qhbgq2,7,1.0
Marc Roca,Betis,4r6jcuotjs6rz8iwu20996z85,10,1.0
Juanlu Sánchez,Sevilla,7j2h7bq14b9n6xephp8vchfu2,12,1.0
Nicolas Pépé,Villarreal,3n9jnuteyjx6w6dxviuead0b9,16,1.0
Marcão,Sevilla,1ghrcpi1cl0koh36puwblbfmd,7,1.0
Chimy Ávila,Betis,cuxm7t8cql3v06hqf18wvcul1,8,0.7777777777777778
Tanguy Nianzou,Sevilla,2lwjtphx3bkjty9sds520l1ey,8,0.782608695652174
Kike Salas,Sevilla,9nwkxgbl8t933pzu60ye4xxxw,13,1.0
Álvaro Núñez,Celta,e1g4cho31825bw7apvh9xr0x6,8,1.0
Djibril Sow,Sevilla,7cdiijsvnfc7tafy0zkf4uz9,10,0.625
Ville Koski,Alavés,5ol17485ecah0trdmkw3byqne,8,0.7777777777777778
Aitor Ruibal,Betis,9226xt1t1m3fy4ob9l2r16609,11,1.0
Örjan Nyland,Sevilla,cfc7fqq748bz3nklfam2a2fp,10,0.8
Yago Santiago,Elche,2b231y5sxluy2p7lv5kywv4ve,7,1.0
Iñigo Arguibide,Osasuna,609aarpl34780k5mkkwluvjf8,7,1.0
Gonzalo Villar,Elche,bh4a2zneilpvi1t7etuhkfl61,8,1.0
Cyril Ngongé,Espanyol,a9z0jsjwfteq974bxwucvc4ix,8,1.0
Abde Ezzalzouli,Betis,96cbv23es0gucmd2v0qvk3iwa,17,0.8888888888888888
Lucien Agoume,Sevilla,c8mp2wwwyvy930vfjnivg2hre,11,0.7619047619047619
Abel Ruiz,Girona,e5xv1rmy69kwuxjxin653ojqh,9,1.0
Wesley Gassova,Real Sociedad,a5sz66h4t5kg1umvtth785jis,9,0.6222222222222222
Sergi Altimira,Betis,5o07mnpidavbe0hqoqzwgom50,12,1.0
Isaac Romero,Sevilla,45rxt159xjefvxlfgeykclw8a,10,1.0
Ricardo Rodriguez,Betis,9ak3zczupeken1itsmkherbh1,10,0.7857142857142857
José Salinas,Espanyol,3ghychnf02zs5pmw2s0ds3p7u,8,1.0
Alex Freeman,Villarreal,6g7i7z6m8vts105dny1g6z3hm,10,0.8571428571428571
Logan Costa,Villarreal,59knsm910b1ruk024rkksla3u,13,1.0
Rodrigo Mendoza,Atlético,1filh68q6hdk921qkdo7rsvmc,7,1.0
Youssef Enríquez,Alavés,2ww626a9v31b072prdx0xf1g4,7,0.7619047619047619
Johnny Cardoso,Atlético,3ub05nnpt9o7s387z6oj8vf56,21,0.782608695652174
Dimitri Foulquier,Valencia,wlqj34ev5mucxtfx6j4tr9at,10,0.7857142857142857
Selton Sánchez,Athletic,esru3us4k7xaj6hjycz78pdsk,7,1.0
José Gayà,Valencia,5b1q9bpe23j98eoy4fwi7ld5h,16,1.0
David Affengruber,Elche,7o7vwlqxknci1fymzkn9hug6i,12,0.8666666666666667
Thiago Almada,Atlético,4ea0sjczqa5ah1w720zlakkfe,28,0.7619047619047619
Odysseas Vlachodimos,Sevilla,7jtc6yk5xu4cm1an97wrgozbp,17,1.0
Iago Aspas,Celta,cs2yx3hiqjsb4i5ul2r5kmdat,21,1.0
Manu Sánchez,Levante,d34tmogp5h4rwuo3pcxtwp0fe,11,1.0
Hugo Duro,Valencia,7yieh5r0uzk6d6x9o060c2bfu,18,1.0
Alejandro Iturbe,Elche,2i7l7343hvxwlzytr57th52sq,7,1.0
Carlos Dominguez,Celta,3sy16pz110zmyq073ao24l1ck,8,1.0
Pepelu,Valencia,3702btkgwxf6tq92ouekd7ro5,14,1.0
Fran Beltrán,Girona,e3czx0nsuw10acnftbr8ud0bt,15,1.0
Lucas Bergstrom,Mallorca,2f49etxdi4l2tsobpmsg5i5pm,7,0.8461538461538461
Iván Villar,Celta,59ndqnsvggsoek170rdqyd1w5,8,1.0
Thierry Correia,Valencia,8vmrboswsfyb5bfoq07s6susp,10,1.0
Unai Núñez,Valencia,e8s9ssopq5nmp51zymvqp8jbp,13,1.0
Mouctar Diakhaby,Valencia,eucssbf7wamb41y1gixfodivp,9,1.0
Pablo Martínez,Levante,e98i1kwb733b830mk2wqdlene,9,1.0
Cristian Rivero,Valencia,bqrz2xmu25taby17bl7cycjqh,7,1.0
Diego Conde,Villarreal,5mj2vxkh3pmkbwj139mp93n4l,10,1.0
Franco Cervi,Celta,5ez2huoeh2g3ijpgr7m15lg5,7,0.75
Jesús Vázquez,Valencia,d6kzekcwqw0q8fq6wt6rmyusq,8,1.0
Roger Brugué,Levante,dwvghrdrnqqmfiwwicm5lrskq,8,1.0
Juanmi Jiménez,Getafe,aohmwqhdb8hlp5lvqboh0t5g5,8,0.7407407407407407
Alfonso González,Villarreal,7lo14fnq32yyyqql6jws5w3xl,12,0.9333333333333333
Joseph Aidoo,Celta,3qrk8nw6nc8o96n7jr1az21ux,9,1.0
Borja Iglesias,Celta,d12m2oz1lomkc1qxmpht38lat,16,1.0
Unai Elgezabal,Levante,4ig4kv8c1xew1jlsy1k2iga21,8,1.0
Grady Diangana,Elche,dce6e4b9ckqkxj1zpsh8poz55,8,0.8333333333333334
Óscar Mingueza,Celta,c3sl9ajm4q424r4u37iath3hl,18,1.0
Ángel Ortiz,Betis,cd0w7dewgwkiiqkg0jty8ae50,8,1.0
Hugo Sotelo,Celta,c60m17adgxbewkrzizwtzd91w,7,1.0
André Almeida,Valencia,9dc4qkvh0vk5kwymibji00kp,12,1.0
Iván Romero,Levante,8kj8kbwbfiqloxiilj0i00ep6,8,1.0
Azzedine Ounahi,Girona,41jb0ts5688xz8ell62rybm22,15,1.0
Diego López,Valencia,4j3u6v01emo9nsel7uw00qsfe,21,1.0
Jon Martín,Real Sociedad,8krgbfnydbtyongkwnsaj43kk,8,1.0
Antony,Betis,v22q59d00b5v78rgx7v8z3vu,37,1.0
Fran Pérez,Rayo,66fshzi5f86wt1lwa4kdhiooa,8,1.0
Tani Oluwaseyi,Villarreal,2mhvgtcem9qn2yzobtkqiegpg,18,0.88
Williot Swedberg,Celta,e91yegwfliqhfy9yyk19otafo,11,0.8648648648648649
Akor Adams,Sevilla,6mf11pv0pfvyl9vom1i1pi0yy,8,0.8235294117647058
Javi Guerra,Valencia,aqqd7tq7z6bj3wn3u3sz3uuqc,18,1.0
Carlos Álvarez,Levante,6gtfe9aysdrcht4v2rluu0ley,12,1.0
Junior Firpo,Betis,9rfwfsz5cmckyjripqgtbc7op,19,0.7368421052631579
Carlos Espí,Levante,cbh5v5yi380uvbt5z2xbxemfo,7,1.0
Joaquín Oso,Sevilla,21jhozm4ed5mxstnymei41wd0,8,0.5833333333333334
Carl Starfelt,Celta,cksi669gcnskpytzh70a43it,11,0.8695652173913043
Mihailo Ristic,Celta,18mddnpa54ygoaefaj0c5obf9,7,0.9285714285714286
Robert Navarro,Athletic,7aoe0u87gxgv9tvgrotcfue7e,10,1.0
Jon Karrikaburu,Real Sociedad,dqiuqhsqsayvldfazfnp8d46i,7,1.0
Hugo Álvarez,Celta,daid84a2zbh8rasleahdp8nis,10,1.0
Kiko Femenia,Getafe,6wpnjdlg2p8f19y3gjpz1su6t,10,1.0
Dani Parejo,Villarreal,c29mprqv2ulztd22b6uckczx1,19,1.0
Alex Forés,Real Oviedo,cw9754xmqdnskeswigkl7u5ii,7,1.0
David Soria,Getafe,vota9gwygxp3wc998tl7ldxx,14,1.0
Víctor Valdepeñas,Real Madrid,3pxte13sf3ybzb3cgvim1tqtw,7,0.7906976744186046
Borja Mayoral,Getafe,52e2ogoex674bz6pcwluapdxx,13,1.0
José Luis Morales,Levante,9y7202khwzb48ea7im646m11x,9,1.0
Federico Gattoni,Sevilla,8wwn9qai1bpesujve04sb225m,8,0.8
Oriol Rey,Levante,a91clevckra05nq55e1ztezmd,8,1.0
Domingos Duarte,Getafe,cue88fm1v1ysfuwhql68czydx,9,1.0
Denis Suárez,Alavés,28psc296gj3umo59qqha8jil1,7,1.0
Alberto Risco,Getafe,6j8k3j0qp5zy19mwpmgx0l990,7,1.0
Federico Redondo,Elche,b8yk8yve4u39s9gjjvedzf6l0,12,0.8205128205128205
Diego Rico,Getafe,dkt9892ixwnz1bkmgileo71sl,11,1.0
Gerard Moreno,Villarreal,2biwwlvzgsu5kmyw5w1adpmtx,16,1.0
Eric Bailly,Real Oviedo,9jw0h4escxh3eqz8oh860r3yt,7,0.8421052631578947
Luka Ilic,Real Oviedo,65je30iyno0ea0yylc355o3jd,7,0.8888888888888888
Ovie Ejaria,Real Oviedo,135s5jb8qkcap8ec8cv47p9sl,7,0.8421052631578947
Dakonam Djené,Getafe,9see13i1f0n1ju4uhs8sijutx,10,0.6666666666666666
Alfonso Pedraza,Villarreal,eh70fwampgdyfv3hu25o2qx,9,1.0
Eray Cömert,Valencia,5uig03vbbv71f0q31cp3vfbv9,10,0.8421052631578947
Mauro Arambarri,Getafe,5gorfhj7uwpomrhlso1krxrkl,22,0.8461538461538461
Carles Aleñá,Alavés,eiqt71z69beq7akuhot0foset,10,1.0
Santi Comesaña,Villarreal,b5rea5r4h8bclpenau2au142x,18,1.0
Nicolás Fonseca,Real Oviedo,kswz5xg9b8d2zzslpfxpn7fu,7,1.0
Gonçalo Guedes,Real Sociedad,7pmigpf4yfi6dfih8e1ogdwb9,20,1.0
Luis Milla,Getafe,ch1lxxbn01at4jmkafy4uevh1,19,1.0
Kylian Mbappé,Real Madrid,5e9ilgrz3tzg9kd1gk3yvrahh,70,0.7878787878787878
Diego Javier Llorente,Betis,9ao7l82r1xd2rjnvv5u6plcr9,12,0.8936170212765957
Wojciech Szczesny,Barcelona,6ofu6yc2qwp5ii9cerdq1tk9h,14,0.7804878048780488
Adrián de la Fuente,Levante,49230s4p4daocrftccqqbeqjt,8,1.0
Ilaix Moriba,Celta,64ctdbd0w5ikj0fkcuu9jdbhm,13,0.8
Toni Martinez,Alavés,1nd8l0ofw9x779c0ufwbbo4ph,8,1.0
Juan Iglesias,Getafe,5lzbyj5i0cotpry4gneap8c89,12,1.0
Álex Baena,Atlético,5zoz3mjooujpv0wdcphyrztd6,38,1.0
Diego Pampín,Levante,bqb9wziyiw0rngildx44uhxbd,8,1.0
Juan Musso,Atlético,7drgir9lcwfst8vxz07jboe6t,9,0.8235294117647058
Arkaitz Mariezkurrena,Real Sociedad,66l9n4gqc4aau3bpc0qtpta8k,7,1.0
Juan Foyth,Villarreal,5soi8e2hlk77rlsbsl76hg3xl,17,0.8235294117647058
Chidera Ejuke,Sevilla,6ufkq71qh9wrfyaez5yi94e09,9,1.0
Dean Huijsen,Real Madrid,d2hnxi1yi5rgqj1tvxh1813x0,23,1.0
José Ángel Carmona,Sevilla,6jq376l673aizjxxhhos2j52i,11,1.0
Alexander Sorloth,Atlético,6akzpi6rd6qq0ke07ojnhpoet,32,1.0
Trent Alexander-Arnold,Real Madrid,19z8jmren3eytg7fbuzqv73kl,33,0.9
Ilias Akhomach,Rayo,73jvx4opw9wvawwpg0bnt8ay2,12,0.8333333333333334
Yoel Lago,Celta,6q341ss6es4r2m1o5s5e80nbo,7,1.0
Ademola Lookman,Atlético,8d04q3yp2kouwog0lj0s7ew2x,34,0.8
Ramón Terrats,Espanyol,20ebw399jhbq0i5x2eacrrs6i,12,1.0
Raul Moro,Osasuna,6km3r9cspyz7g6343o9mri63u,8,1.0
Carlos Romero,Espanyol,5djkwcoflvxcv5oida6txfyp6,12,1.0
Pau Cabanes,Villarreal,6qlpnu6rv60qui02axtaii8lw,7,1.0
Álvaro Fidalgo,Betis,733ho2s9aqwwxzbqfiia3b7bp,11,0.782608695652174
Eric Garcia,Barcelona,4ggz7e009bq3yltc9o6mifbah,18,1.0
Allan Nyom,Getafe,6lz4bncnjfcm7wrtuiovguv2t,7,0.7692307692307693
Tete Morente,Elche,1i9mqbswolg91evnmsrf5katx,7,1.0
Adrián San Miguel,Betis,2r4ox2h5r7doo3ys9ynm2nbo5,9,0.723404255319149
Juan Carlos Martín,Girona,4wbwcfbeokv5j4nuudbxgaw2d,8,0.8372093023255814
Dani Olmo,Barcelona,4gq1u1mqg0qzekh1u5djleeax,37,1.0
David López,Girona,4o0ei8wawffrg2hvnbmcxipxx,11,1.0
Germán Valera,Elche,5mgmcero3ui4a24v1w1upx3sa,8,1.0
Marc Vidal,Celta,b9gvtejjtt3vqukvdeuuo1eqx,7,1.0
Cristian Portu,Girona,5l6e9nd0defapk1w2ucndowr9,9,0.6666666666666666
Carlos Martín,Rayo,c90gk99jn34wxtlad784hpnv8,8,1.0
Christian Stuani,Girona,6navc0x6p4yqy76zyo3zocwr9,12,0.6666666666666666
Iván Martín,Girona,9um7x9zd0e000zt57l3yearqh,11,1.0
Santiago Mouriño,Villarreal,albt55j4oir1veynmos532psk,11,0.72
Fran González,Real Madrid,42mke5h9m4g7idv9q6ltuhkwk,7,1.0
Yangel Herrera,Real Sociedad,c320492cbp1otejfp1i1oane1,17,0.782608695652174
Clément Lenglet,Atlético,3gsprcdyogabeb8lr2y0bmytx,12,0.75
Paulo Gazzaniga,Girona,eavhyxb9dfjh0jp5yzg8p8udx,12,0.8461538461538461
David López,Mallorca,3v254jhofauiadp9vzb7rb21g,7,1.0
Arnau Martínez,Girona,2nq5nzq35tfwc7po29dtwqp78,13,1.0
Pablo Torre,Mallorca,5kodjbsarkql4vhs126p2vhwq,9,1.0
Marc Casadó,Barcelona,3hht0os2uzu234yq550i3fbe2,16,1.0
Joel Roca,Girona,25h51j4zz5m180na6sy5ybbpw,7,1.0
Viktor Tsygankov,Girona,3auwtiburdxrp2i5me2d97f11,22,1.0
Daley Blind,Girona,3kx4mltrob4yta5g6kr2u8ic5,12,1.0
Ibrahim Diabate,Alavés,4psxc0t1nm2o7a984utuzwciy,8,0.7894736842105263
Sergio Carreira,Celta,5tc1y5n3h4ties7gbc3zd9j6y,10,1.0
Miguel Román,Celta,a39ntr1ek9aavke18yucd0r2s,8,1.0
Obed Vargas,Atlético,q00t04zyy8idanvhpee3ubu2,10,0.8421052631578947
Tajon Buchanan,Villarreal,acx78ftnm61hm01wpmme77hbe,11,0.8333333333333334
Matías Vecino,Celta,9462218yklkts6mod3cbfryz9,9,0.7878787878787878
Aarón Escandell,Real Oviedo,1j75xt37w8q04ixbyjwhtfh05,9,1.0
Maroan Sannadi,Athletic,by8xbw0rb239l1x4b0t33tpn8,11,0.782608695652174
Buba Sangaré,Elche,anzk8a183bh3gf3gcuz0v0tuc,7,1.0
Donny van de Beek,Girona,6gruusc463fdln5uz1uzhne8l,10,1.0
Julián Álvarez,Atlético,9ikkuxd19avliz1khcrm82gyy,47,1.0
Veljko Birmancevic,Getafe,b3xdln1shzyzwkhzdmbb2fqax,8,0.8888888888888888
Peque,Sevilla,6ufkq71qh9wrfyaez5yi94e09,8,0.6
Thiago Borbas,Real Oviedo,7zilisi5cnkmr30dhdful2r1m,8,0.7619047619047619
Zito Luvumbo,Mallorca,e0gv5rugqtsipy89z4rk7hsoa,8,1.0
Urko Izeta,Athletic,43sv2qpco7dsobxna7z9dugyy,8,1.0
Victor Parada,Alavés,6azcxbumsgd8es7mcd9b3t94a,7,1.0
Nicolás González,Atlético,eh1ul4duphy1iz4odwx9tkjjd,35,0.8648648648648649
Kareem Tunde,Levante,20s72mrpp0gl3hd333zaows2c,7,1.0
Javi Muñoz,Getafe,aohmwqhdb8hlp5lvqboh0t5g5,11,1.0
Sofyan Amrabat,Betis,4kfx8fzf54bli2a2o0i3fvhed,18,1.0
Ilyas Chaira,Real Oviedo,60b3ef904dyvuh61cgkajcley,8,0.8275862068965517
Javi Rueda,Celta,75xbiozismh96vufhrhkng4mi,7,1.0
Abu Kamara,Getafe,73mz7xafzid0mvbi59kb9u0dm,11,0.8888888888888888
Álvaro Valles,Betis,routhh0ialijcg3egagouig9,10,1.0
Vladyslav Vanat,Girona,32ofi0z0euiqvxt5jk8o1uzxm,27,1.0
Jiri Letácek,Getafe,6bdn7qrzqxuurt39t5j6mooo9,8,0.8333333333333334
Ismael Bekhoucha,Getafe,5oto675vo4ugk7nm22q4vkhsk,7,0.8205128205128205
Sergi Cardona,Villarreal,4x854vpovag131b2kdutv4qju,14,1.0
Raúl Asencio,Real Madrid,atj6u4qul0o2ca57etbmes07o,17,1.0
Sergio Gómez,Real Sociedad,d4tdx2ctadv6kc3tbq4as8bmx,20,1.0
Pablo García,Betis,5lsx1d5uu8hu6x6a2eocqhvys,7,1.0
Carlos Soler,Real Sociedad,dsmcqfl0e1be4ag7czbnolo15,13,1.0
Alberto Moleiro,Villarreal,1qkneebzln8byl9td2aswznmy,23,1.0
Calebe Gonçalves,Alavés,evyeubmelkx90xby5p9i38woa,8,0.64
Marc Pubill,Atlético,d0kzduhj90areaill2gvvw6xg,10,1.0
Batista Mendy,Sevilla,boa0e436nc3u53cumlao9ulex,13,0.7647058823529411
Jonny Castro,Alavés,7wzwqegxhekjwq361dd2nidp1,10,0.6875
Karl Etta Eyong,Levante,bl3o0pt262qax5cwv4jeu82s4,8,0.8888888888888888
David Hancko,Atlético,1vyh50nfaq2kq5pmivpkc1psl,24,1.0
Alexis Sánchez,Sevilla,vl1b0gayryiqvl5dlukpmswl,18,0.782608695652174
Marcus Rashford,Barcelona,604osk9a3lxpfpkavuziqmn6x,36,1.0
Fábio Cardoso,Sevilla,3enoici51osego5k1w41fuaqd,11,1.0
Lucas Beltrán,Valencia,a6ud2u88utl6khwf0c4qbdox6,17,0.8181818181818182
Sergi Darder,Mallorca,7xmaybxu4zd5k338bi3drkxcl,19,1.0
Georges Mikautadze,Villarreal,8bvn7mn5tjfj3l2bnpvm75gmi,38,1.0
Paco Cortés,Levante,6w641bd5laym8cnxg6mecsmqc,7,1.0
Antonio Raíllo,Mallorca,9dewnn65ylruq567thg7ebqhh,17,1.0
Iván Cuéllar,Mallorca,e1izszvhlcdpmnjzzd73cnidx,7,0.7058823529411765
Pau Navarro,Villarreal,9rtfwu0z7qtk1kglenp2vm13o,7,1.0
Thiago Fernández,Real Oviedo,9xyhn7xadm9zl908lonnj0x04,7,0.8648648648648649
Rubén Blanco,Girona,4dbs7cgevy096gouv60eurh05,7,1.0
Omar Mascarell,Mallorca,bkvvapojagxvj17nzk3oy8ct1,8,1.0
Antonio Sánchez,Mallorca,2td3iejdken4orcduqrdutrhm,8,1.0
Leo Román,Mallorca,5qh2kdatvb03o8oiqvkaaxje2,9,1.0
Cucho Hernández,Betis,8aao79b1g77c5jhp1n0w60xrd,31,0.8461538461538461
Antonio Lato,Mallorca,f1e3gi3dx3er2vz7loriw6e39,7,0.8571428571428571
Willy Kambwala,Villarreal,bxp1wr68i1mykrkj3083mvml0,7,0.8333333333333334
Pablo Maffeo,Mallorca,22dchchxwrsty67ultrs61qz9,12,1.0
Nacho Vidal,Real Oviedo,akjusy9dt1qd2fjhttviek6ol,9,1.0
Manuel Morlanes,Mallorca,12qc3dkodeb8ykg6pc0kqf2l1,9,0.9285714285714286
Martin Valjent,Mallorca,9t88fceutc2x108ga0qkzkafp,13,1.0
